adm_cd,gu,emd_nm,pop_total,pop_65p,aed_count,aed_per_10k,aed_per_1k_65p,old_ratio,pred_poisson,resid_poisson,pred_nb,resid_nb
34011110,동남구,목천읍,22263,4976,23,10.331042536944706,4.622186495176849,0.22350985940798634,18.20845958193122,4.791540418068781,25.800743426578048,-2.800743426578048
34011310,동남구,풍세면,10469,2067,76,72.59528130671507,36.768263183357526,0.19744006113286847,5.978382334748575,70.02161766525143,9.142140345310795,66.85785965468921
34011320,동남구,광덕면,3996,1735,15,37.53753753753754,8.645533141210375,0.4341841841841842,59.57524098349151,-44.57524098349151,45.59281249320378,-30.59281249320378
34011330,동남구,북면,4113,1648,9,21.88183807439825,5.461165048543689,0.40068076829564797,38.64582355437896,-29.645823554378957,32.61955521711982,-23.619555217119817
34011340,동남구,성남면,2811,1283,4,14.22981145499822,3.117692907248636,0.456421202419068,56.934495377441266,-52.934495377441266,40.82892909626759,-36.82892909626759
34011350,동남구,수신면,2074,920,8,38.57280617164899,8.695652173913043,0.44358727097396333,35.19820594719045,-27.198205947190452,26.206584989739774,-18.206584989739774
34011360,동남구,병천면,5952,1946,22,36.96236559139785,11.305241521068858,0.3269489247311828,20.247385529026946,1.7526144709730538,21.201865656671057,0.7981343433289432
34011370,동남구,동면,1905,966,260,1364.8293963254594,269.1511387163561,0.5070866141732283,77.55496870838573,182.44503129161427,47.958301104723375,212.04169889527662
34011510,동남구,중앙동,4612,1636,2,4.336513443191674,1.2224938875305624,0.3547267996530789,23.00531087605377,-21.00531087605377,22.21053486129728,-20.21053486129728
34011520,동남구,문성동,7808,1221,0,0.0,0.0,0.15637807377049182,2.5321452484436993,-2.5321452484436993,4.366124218521817,-4.366124218521817
34011530,동남구,원성1동,7649,2203,0,0.0,0.0,0.2880115047718656,15.215813905985572,-15.215813905985572,17.854416877887587,-17.854416877887587
34011540,동남구,원성2동,8701,2723,2,2.2985863693828295,0.7344840249724568,0.31295253419147223,24.407077020441257,-22.407077020441257,26.625296723676733,-24.625296723676733
34011550,동남구,봉명동,17018,3266,6,3.525678693148431,1.837109614206981,0.1919144435303796,9.005746658621371,-3.005746658621371,13.995896585946308,-7.9958965859463085
34011560,동남구,일봉동,23503,3779,4,1.701910394417734,1.0584810796507012,0.16078798451261542,8.099581864345172,-4.099581864345172,13.78700938679927,-9.78700938679927
34011570,동남구,신방동,42548,4919,9,2.115258061483501,1.829640170766416,0.11561060449374824,7.867935391873098,1.1320646081269023,15.284017806669478,-6.284017806669478
34011580,동남구,청룡동,57873,7593,0,0.0,0.0,0.13120107822300556,13.266507998515467,-13.266507998515467,24.622692432473272,-24.622692432473272
34011590,동남구,신안동,37842,5961,0,0.0,0.0,0.15752338671317584,12.467427591707677,-12.467427591707677,21.42544903359056,-21.42544903359056
34012110,서북구,성환읍,21790,6538,8,3.67140890316659,1.223615784643622,0.30004589261128956,51.1641608399246,-43.1641608399246,57.96078550143722,-49.96078550143722
34012120,서북구,성거읍,21529,3881,27,12.541223466022574,6.956969853130637,0.18026847508012447,9.703790394610433,17.296209605389567,15.603112539102682,11.396887460897318
34012130,서북구,직산읍,19287,3610,18,9.332711152589827,4.986149584487534,0.1871727070047182,9.56091886550838,8.43908113449162,15.066140328583145,2.9338596714168546
34012310,서북구,입장면,7565,2635,15,19.828155981493722,5.692599620493358,0.34831460674157305,34.54417898613727,-19.54417898613727,33.98195967043832,-18.98195967043832
34012510,서북구,성정1동,16682,3478,0,0.0,0.0,0.20848819086440476,11.092835647412013,-11.092835647412013,16.423931226641592,-16.423931226641592
34012520,서북구,성정2동,24628,3206,2,0.8120838070488874,0.6238303181534622,0.13017703426993665,5.5664911847200536,-3.5664911847200536,10.362411694349337,-8.362411694349337
34012530,서북구,쌍용1동,12511,2634,5,3.9964830948765084,1.8982536066818527,0.21053472943809448,8.557239898379228,-3.557239898379228,12.594166028719158,-7.594166028719158
34012540,서북구,쌍용2동,34211,4429,0,0.0,0.0,0.12946128438221624,7.656580365308015,-7.656580365308015,14.283119499161517,-14.283119499161517
34012550,서북구,쌍용3동,17151,3040,0,0.0,0.0,0.17724913999183722,7.415461951142777,-7.415461951142777,12.02935106827152,-12.02935106827152
34012580,서북구,백석동,40636,3396,58,14.273058371886997,17.078916372202592,0.08357121763953144,4.832338967194386,53.16766103280561,10.309080014722744,47.690919985277255
34012600,서북구,부성1동,53305,4573,2,0.3751993246412157,0.4373496610540127,0.08578932557921395,6.535643293001437,-4.535643293001437,13.852691357577203,-11.852691357577203
34012610,서북구,부성2동,63677,3391,0,0.0,0.0,0.05325313692542048,4.986487695195265,-4.986487695195265,11.624043089540127,-11.624043089540127
34012620,서북구,불당1동,31435,2019,6,1.9087004930809606,2.9717682020802374,0.06422777159217433,2.863530258447876,3.136469741552124,6.4643953068454385,-0.4643953068454385
34012630,서북구,불당2동,37133,1357,14,3.7702313306223574,10.316875460574797,0.03654431368324671,2.3098330804334832,11.690166919566517,5.654068226512552,8.345931773487447
