adm_cd_x,gu_x,emd_nm_x,pop_total,pop_65p,aed_count,aed_per_10k,aed_per_1k_65p,old_ratio,pred_poisson,resid_poisson,pred_nb,resid_nb,adm_cd_y,gu_y,emd_nm_y,resid_used,pred_used,std_resid
34011330,동남구,북면,4113,1648,183,444.9307075127644,111.04368932038835,0.40068076829564797,33.5497743872091,149.45022561279092,33.40931180482156,149.59068819517844,34011330,동남구,북면,149.59068819517844,33.40931180482156,25.88038873208599
34011310,동남구,풍세면,10469,2067,76,72.59528130671507,36.768263183357526,0.19744006113286847,7.550932043614622,68.44906795638538,9.716190067478937,66.28380993252107,34011310,동남구,풍세면,66.28380993252107,9.716190067478937,21.264709903853927
34012580,서북구,백석동,40636,3396,58,14.273058371886997,17.078916372202592,0.08357121763953144,7.530126584194167,50.469873415805836,11.185750486293983,46.81424951370602,34012580,서북구,백석동,46.81424951370602,11.185750486293983,13.997339673528506
34011370,동남구,동면,1905,966,86,451.4435695538058,89.02691511387164,0.5070866141732283,55.328355798395435,30.671644201604565,48.1776772729316,37.8223227270684,34011370,동남구,동면,37.8223227270684,48.1776772729316,5.449106135148672
34012630,서북구,불당2동,37133,1357,14,3.7702313306223574,10.316875460574797,0.03654431368324671,3.9255626041851457,10.074437395814854,6.187596576579531,7.812403423420469,34012630,서북구,불당2동,7.812403423420469,6.187596576579531,3.1406798371416618
34012120,서북구,성거읍,21529,3881,27,12.541223466022574,6.956969853130637,0.18026847508012447,12.650730341789652,14.349269658210348,16.634744481579087,10.365255518420913,34012120,서북구,성거읍,10.365255518420913,16.634744481579087,2.541393679055052
34012130,서북구,직산읍,19287,3610,18,9.332711152589827,4.986149584487534,0.1871727070047182,12.306721663464236,5.693278336535764,16.042105889960975,1.9578941100390246,34012130,서북구,직산읍,1.9578941100390246,16.042105889960975,0.4888307422032414
34011360,동남구,병천면,5952,1946,22,36.96236559139785,11.305241521068858,0.3269489247311828,20.138519621660386,1.861480378339614,22.00844377818315,-0.008443778183149675,34011360,동남구,병천면,-0.008443778183149675,22.00844377818315,-0.0017998741873857976
34012620,서북구,불당1동,31435,2019,6,1.9087004930809606,2.9717682020802374,0.06422777159217433,4.624278717400797,1.3757212825992031,7.038846651855737,-1.0388466518557369,34012620,서북구,불당1동,-1.0388466518557369,7.038846651855737,-0.3915621392216285
34011110,동남구,목천읍,22263,4976,23,10.331042536944706,4.622186495176849,0.22350985940798634,21.918145646968018,1.0818543530319822,27.29106534426366,-4.291065344263661,34011110,동남구,목천읍,-4.291065344263661,27.29106534426366,-0.8214003496190179
