metric,n_dong,n_eupmyeon,mw_U,mw_p,t_stat,t_p
aed_per_10k,19,12,8.0,1.59395860049919e-05,-1.2004474914858436,0.255177202431338
aed_per_1k_65p,19,12,23.0,0.00021412693392594884,-1.2928718579673053,0.22244578075986657
aed_count,19,12,21.5,0.00016422646745278547,-1.641539392089412,0.12780989809511983
